PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Hu, Zhi-Liang; Park, Carissa A.; Reecy, James M.					Reecy, James/0000-0003-4602-0990			Developmental progress and current status of the Animal QTLdb								NUCLEIC ACIDS RESEARCH				44	D1			D827	D833		10.1093/nar/gkv1233					JAN 4 2016	2016										115	4	0	105	0	118			0305-1048	1362-4962		WOS:000371261700117	26602686	
J	Dadel, Przemyslaw; Zielinski, Krzysztof								EVOLUTION OF REACTIVE STREAMS API FOR CONTEXT-AWARE MOBILE APPLICATIONS								COMPUTING AND INFORMATICS				35	4			852	869							2016	2016										0	0	0	0	0	0			1335-9150			WOS:000394924200005		
J	Hedin, Daniel; Bello, Luciano; Sabelfeld, Andrei								Information-flow security for JavaScript and its APIs								JOURNAL OF COMPUTER SECURITY				24	2			181	234		10.3233/JCS-160544					2016	2016										2	0	0	0	0	2			0926-227X	1875-8924		WOS:000374759200002		
J	Holehouse, Alex S.; Naegle, Kristen M.					Holehouse, Alex/0000-0002-4155-5729; Naegle, Kristen/0000-0001-7146-9592			Reproducible Analysis of Post-Translational Modifications in Proteomes-Application to Human Mutations								PLOS ONE				10	12					e0144692	10.1371/journal.pone.0144692					DEC 14 2015	2015										3	0	0	3	0	3			1932-6203			WOS:000366715900088	26659599	
J	Corral-Corral, Ricardo; Chavez, Edgar; Del Rio, Gabriel				Chavez, Edgar/M-4162-2019	Chavez, Edgar/0000-0002-0148-695X; Corral Corral, Ricardo/0000-0003-3148-3888			Machine Learnable Fold Space Representation based on Residue Cluster Classes								COMPUTATIONAL BIOLOGY AND CHEMISTRY				59				1	7		10.1016/j.compbiolchem.2015.07.010					DEC 2015	2015										0	0	0	0	0	0			1476-9271	1476-928X		WOS:000367633900001	26366526	
J	Voglis, C.; Hadjidoukas, P. E.; Parsopoulos, K. E.; Papageorgiou, D. G.; Lagaris, I. E.; Vrahatis, M. N.				Vrahatis, Michael N./G-2187-2014				p-MEMPSODE: Parallel and irregular memetic global optimization								COMPUTER PHYSICS COMMUNICATIONS				197				190	211		10.1016/j.cpc.2015.07.011					DEC 2015	2015										2	0	0	0	0	2			0010-4655	1879-2944		WOS:000362919500021		
J	Nelson, D.; Pillepich, A.; Genel, S.; Vogelsberger, M.; Springel, V.; Torrey, P.; Rodriguez-Gomez, V.; Sijackif, D.; Snyder, G. F.; Griffen, B.; Marinacci, F.; Blecha, L.; Sales, L.; Xu, D.; Hernquist, L.					Genel, Shy/0000-0002-3185-1540; Sales, Laura V./0000-0002-3790-720X; Torrey, Paul/0000-0002-5653-0786; Rodriguez-Gomez, Vicente/0000-0002-9495-0079; /0000-0003-3816-7028; Pillepich, Annalisa/0000-0003-1065-9274; Springel, Volker/0000-0001-5976-4599			The illustris simulation: Public data release								ASTRONOMY AND COMPUTING				13				12	37		10.1016/j.ascom.2015.09.003					NOV 2015	2015										150	1	0	0	0	151			2213-1337	2213-1345		WOS:000370460200002		
J	Gudmundsson, Vignir; Schulze, Christoph; Ganesan, Dharmalingam; Lindvall, Mikael; Wiegand, Robert								Model-based testing of NASA's GMSEC, a reusable framework for ground system software								INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING				11	3	SI		217	232		10.1007/s11334-015-0254-6					SEP 2015	2015										3	0	0	0	0	3			1614-5046	1614-5054		WOS:000359723000008		
J	Jezek, Kamil; Dietrich, Jens; Brada, Premek				Brada, Premek/D-1180-2016	Brada, Premek/0000-0001-5617-6396			How Java APIs break - An empirical study								INFORMATION AND SOFTWARE TECHNOLOGY				65				129	146		10.1016/j.infsof.2015.02.014					SEP 2015	2015										10	1	0	0	0	11			0950-5849	1873-6025		WOS:000356110100009		
J	Wu, Wei; Serveaux, Adrien; Gueheneuc, Yann-Gaeal; Antoniol, Giuliano								The impact of imperfect change rules on framework API evolution identification: an empirical study								EMPIRICAL SOFTWARE ENGINEERING				20	4			1126	1158		10.1007/s10664-014-9317-9					AUG 2015	2015										3	0	0	0	0	3			1382-3256	1573-7616		WOS:000355754500007		
